"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","354","Then: the XPATH selector strategy with text can be used","","Sat Aug 09 02:18:59 GMT 2025","passed","Sat Aug 09 02:18:59 GMT 2025","","UI Testing Playground: Scenario: Dynamic ID: Given: the user is on a page with dynamic ID elements: When: the user wants to interact with Dynamic ID elements","",""
"","1549","Then: the page should register the mouse click","","Sat Aug 09 02:18:58 GMT 2025","passed","Sat Aug 09 02:18:59 GMT 2025","","UI Testing Playground: Scenario: Click: Given: the user is on a page where event based clicks do not work: When: the user does a physical mouse click","",""
"","27","Then: the user should be able to click an element that is on screen","","Sat Aug 09 02:19:11 GMT 2025","passed","Sat Aug 09 02:19:11 GMT 2025","","UI Testing Playground: Scenario: Visibility: Given: the user is on a page where elements are expected to be visible: When: the user wants to click a specific element","",""
"","971","Then: the user should be able to interact with the shadow DOM elements","","Sat Aug 09 02:19:08 GMT 2025","passed","Sat Aug 09 02:19:09 GMT 2025","","UI Testing Playground: Scenario: Shadom DOM: Given: the user is on a page where shadow DOM is used","",""
"","43","Then: the user should be able to click an element with width","","Sat Aug 09 02:19:11 GMT 2025","passed","Sat Aug 09 02:19:11 GMT 2025","","UI Testing Playground: Scenario: Visibility: Given: the user is on a page where elements are expected to be visible: When: the user wants to click a specific element","",""
"","2629","Then: the user should be logged in","","Sat Aug 09 02:19:06 GMT 2025","passed","Sat Aug 09 02:19:09 GMT 2025","","UI Testing Playground: Scenario: Login: Given: the user is on a login page: When: the user enters valid credentials","",""
"","6466","Then: the user should wait for the animation to complete","","Sat Aug 09 02:18:58 GMT 2025","passed","Sat Aug 09 02:19:05 GMT 2025","","UI Testing Playground: Scenario: Animated elements: Given: the user is on a page where elements can become animated: When: an element is animated","",""
"","26","Then: the user should not be able to click an element that is overlapped","","Sat Aug 09 02:19:11 GMT 2025","passed","Sat Aug 09 02:19:11 GMT 2025","","UI Testing Playground: Scenario: Visibility: Given: the user is on a page where elements are expected to be visible: When: the user wants to click a specific element","",""
"","24","Then: the user should not be able to click an element with 0 opacity","","Sat Aug 09 02:19:11 GMT 2025","passed","Sat Aug 09 02:19:11 GMT 2025","","UI Testing Playground: Scenario: Visibility: Given: the user is on a page where elements are expected to be visible: When: the user wants to click a specific element","",""
"","889","Then: the user should be able to interact with the element","","Sat Aug 09 02:19:08 GMT 2025","passed","Sat Aug 09 02:19:09 GMT 2025","","UI Testing Playground: Scenario: Overlapped elements: Given: the user is on a page where an element is overlapped: When: the user brings the overlapped element into view","",""
"","16097","Then: the page should be updated with needed content upon completion of the request","","Sat Aug 09 02:18:59 GMT 2025","passed","Sat Aug 09 02:19:15 GMT 2025","","UI Testing Playground: Scenario: AJAX request: Given: the user is on a page where AJAX requests are needed: When: the user triggers an AJAX request on the page","",""
"","998","Then: the XPATH selector strategy can be used to reference the element","","Sat Aug 09 02:19:07 GMT 2025","passed","Sat Aug 09 02:19:08 GMT 2025","","UI Testing Playground: Scenario: Non-Breaking space: Given: the user is on a page where non-breaking space is used: When: the user wants to reference an element using nbsp","",""
"","327","Then: the unique class should be used","","Sat Aug 09 02:18:58 GMT 2025","passed","Sat Aug 09 02:18:58 GMT 2025","","UI Testing Playground: Scenario: Class attribute: Given: the user is on a page where elements are using classes: When: the user wants to interact with a specific element","",""
"","27","Then: the user should be able to click an element with a display value","","Sat Aug 09 02:19:11 GMT 2025","passed","Sat Aug 09 02:19:11 GMT 2025","","UI Testing Playground: Scenario: Visibility: Given: the user is on a page where elements are expected to be visible: When: the user wants to click a specific element","",""
"","680","Then: the XPATH selector strategy can be used to get the data","","Sat Aug 09 02:18:58 GMT 2025","passed","Sat Aug 09 02:18:58 GMT 2025","","UI Testing Playground: Scenario: Dynamic table: Given: the user is on a page with a dynamic table: When: the user wants to validate a specific set of data within the table","",""
"","819","Then: the XPATH selector strategy can be used to reference the element","","Sat Aug 09 02:19:08 GMT 2025","passed","Sat Aug 09 02:19:09 GMT 2025","","UI Testing Playground: Scenario: Stale elements: Given: the user is on a page where elements become stale: When: the user wants to reference an updated element","",""
"","22","Then: the user should not be able to click an element with hidden visibility","","Sat Aug 09 02:19:11 GMT 2025","passed","Sat Aug 09 02:19:11 GMT 2025","","UI Testing Playground: Scenario: Visibility: Given: the user is on a page where elements are expected to be visible: When: the user wants to click a specific element","",""
"","1217","Then: the XPATH selector strategy can be used","","Sat Aug 09 02:18:57 GMT 2025","passed","Sat Aug 09 02:18:59 GMT 2025","","UI Testing Playground: Scenario: Dynamic ID: Given: the user is on a page with dynamic ID elements: When: the user wants to interact with Dynamic ID elements","",""
"","25","Then: the user should not be able to click an element with display none","","Sat Aug 09 02:19:11 GMT 2025","passed","Sat Aug 09 02:19:11 GMT 2025","","UI Testing Playground: Scenario: Visibility: Given: the user is on a page where elements are expected to be visible: When: the user wants to click a specific element","",""
"","53","Then: the user should be able to click an element that is not overlapped","","Sat Aug 09 02:19:11 GMT 2025","passed","Sat Aug 09 02:19:11 GMT 2025","","UI Testing Playground: Scenario: Visibility: Given: the user is on a page where elements are expected to be visible: When: the user wants to click a specific element","",""
"","3289","Then: the state of the element should persist","","Sat Aug 09 02:18:57 GMT 2025","passed","Sat Aug 09 02:19:01 GMT 2025","","UI Testing Playground: Scenario: Hidden layers: Given: the user is on a page where elements are cached: When: the user wants to interact with a cached element","",""
"","91","Then: the user should not be able to click an element with zero width","","Sat Aug 09 02:19:11 GMT 2025","passed","Sat Aug 09 02:19:11 GMT 2025","","UI Testing Playground: Scenario: Visibility: Given: the user is on a page where elements are expected to be visible: When: the user wants to click a specific element","",""
"","43","Then: the user should be able to click an element with opacity","","Sat Aug 09 02:19:11 GMT 2025","passed","Sat Aug 09 02:19:11 GMT 2025","","UI Testing Playground: Scenario: Visibility: Given: the user is on a page where elements are expected to be visible: When: the user wants to click a specific element","",""
"","324","Then: the input should be applied to the application","","Sat Aug 09 02:19:10 GMT 2025","passed","Sat Aug 09 02:19:11 GMT 2025","","UI Testing Playground: Scenario: Text Input: Given: the user is on a page where sending text via DOM events do not work: When: the user emulates real keyboard input","",""
"","25357","Then: the user should be able to act in accordance to the progress bar data","","Sat Aug 09 02:19:07 GMT 2025","passed","Sat Aug 09 02:19:32 GMT 2025","","UI Testing Playground: Scenario: Progress bar: Given: the user is on a page where there is a progress bar: When: the user triggers the progress bar to be active","",""
"","15988","Then: the page should wait for the logic to be processed","","Sat Aug 09 02:18:58 GMT 2025","passed","Sat Aug 09 02:19:14 GMT 2025","","UI Testing Playground: Scenario: Delay: Given: the user is on a page where JavaScript processing on client side happens: When: the user triggers client side logic","",""
"","374","Then: the user should not be logged in","","Sat Aug 09 02:19:09 GMT 2025","passed","Sat Aug 09 02:19:09 GMT 2025","","UI Testing Playground: Scenario: Login: Given: the user is not logged in: When: the user enters invalid credentials","",""
"","29","Then: the user should be able to click an element with visibility","","Sat Aug 09 02:19:11 GMT 2025","passed","Sat Aug 09 02:19:11 GMT 2025","","UI Testing Playground: Scenario: Visibility: Given: the user is on a page where elements are expected to be visible: When: the user wants to click a specific element","",""
"","84","Then: the XPATH selector strategy can be used to validate the inner text","","Sat Aug 09 02:18:59 GMT 2025","passed","Sat Aug 09 02:18:59 GMT 2025","","UI Testing Playground: Scenario: Inner Text: Given: the user is on a page where there is inner text: When: the user wants to validate the inner text of an element","",""
"","27","Then: the user should not be able to click an element that is offscreen","","Sat Aug 09 02:19:11 GMT 2025","passed","Sat Aug 09 02:19:11 GMT 2025","","UI Testing Playground: Scenario: Visibility: Given: the user is on a page where elements are expected to be visible: When: the user wants to click a specific element","",""
"","6565","Then: the user should wait for the disabled element to become enabled","","Sat Aug 09 02:18:59 GMT 2025","passed","Sat Aug 09 02:19:05 GMT 2025","","UI Testing Playground: Scenario: Disabled Input: Given: the user is on a page where inputs can be disabled: When: the user wants to interact with a disabled input","",""
"","169","Then: the user should be able to click rendered elements","","Sat Aug 09 02:19:10 GMT 2025","passed","Sat Aug 09 02:19:11 GMT 2025","","UI Testing Playground: Scenario: Visibility: Given: the user is on a page where elements are expected to be visible: When: the user wants to click a specific element","",""
"","293","Then: the user should be able to click the logout button to log off","","Sat Aug 09 02:19:09 GMT 2025","passed","Sat Aug 09 02:19:09 GMT 2025","","UI Testing Playground: Scenario: Login: Given: the user is logged in: When: the user wants to logout","",""
"","507","Then: the user should be able to validate the inner text by getting the text","","Sat Aug 09 02:18:58 GMT 2025","passed","Sat Aug 09 02:18:59 GMT 2025","","UI Testing Playground: Scenario: Inner Text: Given: the user is on a page where there is inner text: When: the user wants to validate the inner text of an element","",""
